STT,Tên khách hàng,Mã số thuế,Đại lý,Mẫu số,Ký hiệu,Số hóa đơn,Ngày xuất,SEC
STT,Tên khách hàng,Mã số thuế,Đại lý,Mẫu số,Ký hiệu,Số hóa đơn,Ngày xuất,SEC
1,Chi nhánh Viện công nghiệp thực phẩm- Phân viện công nghiệp thực phẩm tại thành phố HCM (TP.Hà Nội),0301220714,,01GTKT0/002,CA/21E,504,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),rev73o0nng
2,DOANH NGHIỆP TƯ NHÂN TIỆM VÀNG PHÚC LỢI,4101510621,,01GTKT0/002,CA/21E,525,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),5j2y1qnjqg
3,CÔNG TY TNHH XĂNG DẦU THÀNH CÔNG,4100748011,,01GTKT0/002,CA/21E,526,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),r2136x47jg
4,CÔNG TY TNHH TƯ VẤN NGUYÊN QUỐC,4101561351,,01GTKT0/002,CA/21E,527,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),go2kd6wq15
5,DOANH NGHIỆP TƯ NHÂN HIỆU VÀNG NGỌC YẾN,4101400682,,01GTKT0/002,CA/21E,528,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),r303ev97pr
6,DOANH NGHIỆP TƯ NHÂN THƯƠNG MẠI VÀNG BẠC KIM THÀNH,4101401703,,01GTKT0/002,CA/21E,529,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),rwn73o1j8r
7,DOANH NGHIỆP TƯ NHÂN THƯƠNG MẠI PHAN NGÔ,4100751688,,01GTKT0/002,CA/21E,530,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),rpv1x3pz9r
8,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỔNG HỢP AN VIỆT PHÁT,4101471281,,01GTKT0/002,CA/21E,531,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),57d3vjm7x5
9,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NGỌC QUÝ,4100850872,,01GTKT0/002,CA/21E,532,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),rynoykml45
10,DOANH NGHIỆP TƯ NHÂN HIỆU VÀNG KIM NGỌC,4101403309,,01GTKT0/002,CA/21E,533,Thu Dec 30 2021 23:59:20 GMT+0700 (Indochina Time),gq276ly44g
